graph_id,world,fold,node_id,arm,shuffle_id,true_label,causal_description,module,is_root,has_visible_parent,visible_parent_count,has_visible_child,visible_child_count,has_visible_same_module,visible_same_module_count,judge_acc,judge_status,match_acc,gold_embedding_cosine,rank,mrr,recall_at_1,recall_at_5,exact_decode,decoder_alpha,decoded_words
graph_00,industrial_cooling_system,0,node_000,uniform,,intake blockage severity,Severity of physical obstruction at the coolant intake.,intake_and_pressure,1,0,0,1,1,1,3,,pending,0,0.9140682112787295,15,0.06666666666666667,0,0,0,0.0004179257024759095,"[""extreme thermal situation"", ""performance degradation"", ""severity"", ""climate control"", ""disease severity"", ""temperature coefficient""]"
graph_00,industrial_cooling_system,0,node_007,uniform,,pump pressure loss,Loss of delivered coolant pressure from wear and restricted inflow.,intake_and_pressure,0,1,2,1,2,1,3,,pending,0,0.8997543509973142,20,0.05,0,0,0,0.0004179257024759095,"[""extreme thermal situation"", ""performance degradation"", ""severity"", ""climate control"", ""disease severity"", ""temperature coefficient""]"
graph_00,industrial_cooling_system,0,node_012,uniform,,emergency cooling demand,Demand for emergency cooling action after thermal warning.,sensing_and_control,0,1,2,1,1,1,4,,pending,1,0.9250546629502872,9,0.1111111111111111,0,0,0,0.0004179257024759095,"[""extreme thermal situation"", ""performance degradation"", ""severity"", ""climate control"", ""disease severity"", ""temperature coefficient""]"
graph_00,industrial_cooling_system,0,node_018,uniform,,production delay,Delay in production caused by cooling-system downtime.,shutdown_and_delivery,0,1,1,1,1,1,4,,pending,0,0.9011856317361534,19,0.05263157894736842,0,0,0,0.0004179257024759095,"[""extreme thermal situation"", ""performance degradation"", ""severity"", ""climate control"", ""disease severity"", ""temperature coefficient""]"
graph_00,industrial_cooling_system,0,node_000,raw_correlation,,intake blockage severity,Severity of physical obstruction at the coolant intake.,intake_and_pressure,1,0,0,1,1,1,3,,pending,1,0.9070214599659662,12,0.08333333333333333,0,0,0,0.0004179257024759095,"[""temperature reduction"", ""coolant system"", ""width restriction"", ""extreme thermal situation"", ""cooling off period"", ""climate control""]"
graph_00,industrial_cooling_system,0,node_007,raw_correlation,,pump pressure loss,Loss of delivered coolant pressure from wear and restricted inflow.,intake_and_pressure,0,1,2,1,2,1,3,,pending,1,0.9068706331186992,18,0.05555555555555555,0,0,0,0.0004179257024759095,"[""performance degradation"", ""extreme thermal situation"", ""temperature reduction"", ""climate control"", ""coolant system"", ""cooling off period""]"
graph_00,industrial_cooling_system,0,node_012,raw_correlation,,emergency cooling demand,Demand for emergency cooling action after thermal warning.,sensing_and_control,0,1,2,1,1,1,4,,pending,1,0.9297508324274096,5,0.2,0,1,0,0.0004179257024759095,"[""extreme thermal situation"", ""climate control"", ""temperature measure"", ""cooling off period"", ""performance degradation"", ""change intensity""]"
graph_00,industrial_cooling_system,0,node_018,raw_correlation,,production delay,Delay in production caused by cooling-system downtime.,shutdown_and_delivery,0,1,1,1,1,1,4,,pending,1,0.9072702193509864,19,0.05263157894736842,0,0,0,0.0004179257024759095,"[""extreme thermal situation"", ""climate control"", ""temperature measure"", ""performance degradation"", ""equipment failure"", ""breakeven load factor""]"
graph_00,industrial_cooling_system,0,node_000,core_oracle_estimated_weights,,intake blockage severity,Severity of physical obstruction at the coolant intake.,intake_and_pressure,1,0,0,1,1,1,3,,pending,1,0.6491108969220913,6,0.16666666666666666,0,0,0,0.0004179257024759095,"[""flow control"", ""width restriction"", ""coolant system""]"
graph_00,industrial_cooling_system,0,node_007,core_oracle_estimated_weights,,pump pressure loss,Loss of delivered coolant pressure from wear and restricted inflow.,intake_and_pressure,0,1,2,1,2,1,3,,pending,1,0.908331493067402,4,0.25,0,1,0,0.0004179257024759095,"[""pump failure"", ""temperature reduction"", ""performance degradation"", ""heat shrink"", ""wear and tear"", ""restoring energy""]"
graph_00,industrial_cooling_system,0,node_012,core_oracle_estimated_weights,,emergency cooling demand,Demand for emergency cooling action after thermal warning.,sensing_and_control,0,1,2,1,1,1,4,,pending,1,0.9270087350848031,3,0.3333333333333333,0,1,0,0.0004179257024759095,"[""climate control"", ""intensity level"", ""expansion cooling"", ""risk appetite"", ""threatening demand"", ""call delay""]"
graph_00,industrial_cooling_system,0,node_018,core_oracle_estimated_weights,,production delay,Delay in production caused by cooling-system downtime.,shutdown_and_delivery,0,1,1,1,1,1,4,,pending,1,0.8780650110324725,4,0.25,0,1,0,0.0004179257024759095,"[""shutdown"", ""length of service"", ""duration"", ""turnaround time"", ""business interruption insurance""]"
graph_00,industrial_cooling_system,0,node_000,core_oracle_true_weights,,intake blockage severity,Severity of physical obstruction at the coolant intake.,intake_and_pressure,1,0,0,1,1,1,3,,pending,1,0.6844185658067609,6,0.16666666666666666,0,0,0,0.0004179257024759095,"[""flow control"", ""width restriction"", ""coolant system""]"
graph_00,industrial_cooling_system,0,node_007,core_oracle_true_weights,,pump pressure loss,Loss of delivered coolant pressure from wear and restricted inflow.,intake_and_pressure,0,1,2,1,2,1,3,,pending,1,0.9219283527158826,3,0.3333333333333333,0,1,0,0.0004179257024759095,"[""pump failure"", ""temperature reduction"", ""performance degradation"", ""progressing cavity pump"", ""use wear analysis"", ""wear and tear""]"
graph_00,industrial_cooling_system,0,node_012,core_oracle_true_weights,,emergency cooling demand,Demand for emergency cooling action after thermal warning.,sensing_and_control,0,1,2,1,1,1,4,,pending,1,0.9369059828637449,3,0.3333333333333333,0,1,0,0.0004179257024759095,"[""climate control"", ""intensity level"", ""temperature coefficient"", ""expansion cooling"", ""change intensity"", ""demand characteristic""]"
graph_00,industrial_cooling_system,0,node_018,core_oracle_true_weights,,production delay,Delay in production caused by cooling-system downtime.,shutdown_and_delivery,0,1,1,1,1,1,4,,pending,1,0.8764517138112476,5,0.2,0,1,0,0.0004179257024759095,"[""shutdown"", ""length of service"", ""duration"", ""turnaround time""]"
graph_00,industrial_cooling_system,0,node_000,core_reversed_graph,,intake blockage severity,Severity of physical obstruction at the coolant intake.,intake_and_pressure,1,0,0,1,1,1,3,,pending,1,0.8268490929971585,7,0.14285714285714285,0,0,0,0.0004179257024759095,"[""width restriction"", ""coolant system"", ""flow control"", ""rate of flow"", ""coolant"", ""be limited to""]"
graph_00,industrial_cooling_system,0,node_007,core_reversed_graph,,pump pressure loss,Loss of delivered coolant pressure from wear and restricted inflow.,intake_and_pressure,0,1,2,1,2,1,3,,pending,1,0.9136810434692036,6,0.16666666666666666,0,0,0,0.0004179257024759095,"[""performance degradation"", ""temperature reduction"", ""pump failure"", ""coolant system"", ""failed repair"", ""impediment removal""]"
graph_00,industrial_cooling_system,0,node_012,core_reversed_graph,,emergency cooling demand,Demand for emergency cooling action after thermal warning.,sensing_and_control,0,1,2,1,1,1,4,,pending,1,0.9035087485611298,4,0.25,0,1,0,0.0004179257024759095,"[""climate control"", ""response time"", ""call delay"", ""startle response"", ""temperature coefficient"", ""adaptive control function""]"
graph_00,industrial_cooling_system,0,node_018,core_reversed_graph,,production delay,Delay in production caused by cooling-system downtime.,shutdown_and_delivery,0,1,1,1,1,1,4,,pending,1,0.9072555159092976,3,0.3333333333333333,0,1,0,0.0004179257024759095,"[""shipping and handling"", ""delay payment"", ""delayment"", ""turnaround time"", ""time delay"", ""length of service""]"
graph_00,industrial_cooling_system,0,node_000,core_shuffled_graph,shuffle_00,intake blockage severity,Severity of physical obstruction at the coolant intake.,intake_and_pressure,1,0,0,1,1,1,3,,pending,0,-0.7765276515615542,14,0.07142857142857142,0,0,0,0.0004179257024759095,"[""low drift meter"", ""low angle of drift"", ""low sensor system"", ""low disease severity"", ""low driftiness"", ""low severity""]"
graph_00,industrial_cooling_system,0,node_007,core_shuffled_graph,shuffle_00,pump pressure loss,Loss of delivered coolant pressure from wear and restricted inflow.,intake_and_pressure,0,1,2,1,2,1,3,,pending,1,0.7624856039157737,7,0.14285714285714285,0,0,0,0.0004179257024759095,"[""heat shrink"", ""creating by removal"", ""heat-absorbing"", ""hot extraction"", ""remaining heat"", ""temperature reduction""]"
graph_00,industrial_cooling_system,0,node_012,core_shuffled_graph,shuffle_00,emergency cooling demand,Demand for emergency cooling action after thermal warning.,sensing_and_control,0,1,2,1,1,1,4,,pending,1,0.8324796544983726,4,0.25,0,1,0,0.0004179257024759095,"[""heat shrink"", ""temperature reduction"", ""heat-absorbing"", ""creating by removal"", ""in deficit"", ""structural deficit""]"
graph_00,industrial_cooling_system,0,node_018,core_shuffled_graph,shuffle_00,production delay,Delay in production caused by cooling-system downtime.,shutdown_and_delivery,0,1,1,1,1,1,4,,pending,0,0.7671578485668464,19,0.05263157894736842,0,0,0,0.0004179257024759095,"[""temperature reduction"", ""heat shrink"", ""heat-absorbing"", ""structural deficit"", ""nature deficit disorder"", ""heat dissipation""]"
graph_00,industrial_cooling_system,0,node_000,core_shuffled_graph,shuffle_01,intake blockage severity,Severity of physical obstruction at the coolant intake.,intake_and_pressure,1,0,0,1,1,1,3,,pending,1,0.8710743350880363,8,0.125,0,0,0,0.0004179257024759095,"[""coolant system"", ""width restriction"", ""temperature reduction"", ""flow control"", ""rate of flow"", ""thermal barrier""]"
graph_00,industrial_cooling_system,0,node_007,core_shuffled_graph,shuffle_01,pump pressure loss,Loss of delivered coolant pressure from wear and restricted inflow.,intake_and_pressure,0,1,2,1,2,1,3,,pending,1,0.9014405023253201,7,0.14285714285714285,0,0,0,0.0004179257024759095,"[""temperature reduction"", ""heat shrink"", ""remaining heat"", ""heat-absorbing"", ""performance degradation"", ""heat capacity""]"
graph_00,industrial_cooling_system,0,node_012,core_shuffled_graph,shuffle_01,emergency cooling demand,Demand for emergency cooling action after thermal warning.,sensing_and_control,0,1,2,1,1,1,4,,pending,1,0.8292324504927762,10,0.1,0,0,0,0.0004179257024759095,"[""call delay"", ""delayed action"", ""climate control device"", ""delay position"", ""learned response"", ""risk of exposure""]"
graph_00,industrial_cooling_system,0,node_018,core_shuffled_graph,shuffle_01,production delay,Delay in production caused by cooling-system downtime.,shutdown_and_delivery,0,1,1,1,1,1,4,,pending,1,0.6728375799691559,3,0.3333333333333333,0,1,0,0.0004179257024759095,"[""delay payment"", ""shipment"", ""call delay"", ""freight transport"", ""cargo pallet""]"
graph_00,industrial_cooling_system,0,node_000,core_shuffled_graph,shuffle_02,intake blockage severity,Severity of physical obstruction at the coolant intake.,intake_and_pressure,1,0,0,1,1,1,3,,pending,1,0.43545076740825106,4,0.25,0,1,0,0.0004179257024759095,"[""shutdown""]"
graph_00,industrial_cooling_system,0,node_007,core_shuffled_graph,shuffle_02,pump pressure loss,Loss of delivered coolant pressure from wear and restricted inflow.,intake_and_pressure,0,1,2,1,2,1,3,,pending,1,0.8628461583440573,4,0.25,0,1,0,0.0004179257024759095,"[""oxygen deficit"", ""creating by removal"", ""heat shrink"", ""heat dissipation"", ""shutoff"", ""shutdown""]"
graph_00,industrial_cooling_system,0,node_012,core_shuffled_graph,shuffle_02,emergency cooling demand,Demand for emergency cooling action after thermal warning.,sensing_and_control,0,1,2,1,1,1,4,,pending,1,0.6666419128329868,7,0.14285714285714285,0,0,0,0.0004179257024759095,"[""shutdown""]"
graph_00,industrial_cooling_system,0,node_018,core_shuffled_graph,shuffle_02,production delay,Delay in production caused by cooling-system downtime.,shutdown_and_delivery,0,1,1,1,1,1,4,,pending,1,0.897601933429679,5,0.2,0,1,0,0.0004179257024759095,"[""control condition"", ""response time"", ""call delay"", ""coolant system"", ""flow control"", ""delay slot""]"
graph_00,industrial_cooling_system,0,node_000,core_shuffled_graph,shuffle_03,intake blockage severity,Severity of physical obstruction at the coolant intake.,intake_and_pressure,1,0,0,1,1,1,3,,pending,0,0.5207416632278997,9,0.1111111111111111,0,0,0,0.0004179257024759095,"[""call delay"", ""delay"", ""delay position"", ""control function""]"
graph_00,industrial_cooling_system,0,node_007,core_shuffled_graph,shuffle_03,pump pressure loss,Loss of delivered coolant pressure from wear and restricted inflow.,intake_and_pressure,0,1,2,1,2,1,3,,pending,1,0.8804073705647919,5,0.2,0,1,0,0.0004179257024759095,"[""pump failure"", ""tread wear indicator"", ""disease severity"", ""length of service"", ""severity"", ""performance degradation""]"
graph_00,industrial_cooling_system,0,node_012,core_shuffled_graph,shuffle_03,emergency cooling demand,Demand for emergency cooling action after thermal warning.,sensing_and_control,0,1,2,1,1,1,4,,pending,1,0.9389558260885557,3,0.3333333333333333,0,1,0,0.0004179257024759095,"[""threatening demand"", ""critical load"", ""global cooling"", ""forced convection"", ""funding liquidity risk"", ""change intensity""]"
graph_00,industrial_cooling_system,0,node_018,core_shuffled_graph,shuffle_03,production delay,Delay in production caused by cooling-system downtime.,shutdown_and_delivery,0,1,1,1,1,1,4,,pending,0,0.8418878263679409,11,0.09090909090909091,0,0,0,0.0004179257024759095,"[""temperature measurement"", ""unreliability"", ""temperature measure""]"
graph_00,industrial_cooling_system,0,node_000,core_shuffled_graph,shuffle_04,intake blockage severity,Severity of physical obstruction at the coolant intake.,intake_and_pressure,1,0,0,1,1,1,3,,pending,0,0.6166989309518836,12,0.08333333333333333,0,0,0,0.0004179257024759095,"[""temperature measuring device"", ""temperature measurement"", ""degree rankine"", ""unreliability"", ""thermal equilibrium"", ""thermotolerance""]"
graph_00,industrial_cooling_system,0,node_007,core_shuffled_graph,shuffle_04,pump pressure loss,Loss of delivered coolant pressure from wear and restricted inflow.,intake_and_pressure,0,1,2,1,2,1,3,,pending,0,0.7896048936508215,17,0.058823529411764705,0,0,0,0.0004179257024759095,"[""shipment"", ""delay payment"", ""shipping and handling"", ""delay position"", ""call delay"", ""time delay""]"
graph_00,industrial_cooling_system,0,node_012,core_shuffled_graph,shuffle_04,emergency cooling demand,Demand for emergency cooling action after thermal warning.,sensing_and_control,0,1,2,1,1,1,4,,pending,1,0.9183621794579471,3,0.3333333333333333,0,1,0,0.0004179257024759095,"[""intensity level"", ""climate control"", ""energy equipment services"", ""expansion cooling"", ""performance arousal"", ""heat conductivity""]"
graph_00,industrial_cooling_system,0,node_018,core_shuffled_graph,shuffle_04,production delay,Delay in production caused by cooling-system downtime.,shutdown_and_delivery,0,1,1,1,1,1,4,,pending,0,0.7974363318255306,13,0.07692307692307693,0,0,0,0.0004179257024759095,"[""temperature reduction"", ""width restriction"", ""liquid flow"", ""cool temperature"", ""cooling off period"", ""budget constraint""]"
graph_00,industrial_cooling_system,0,node_000,core_shuffled_graph,shuffle_05,intake blockage severity,Severity of physical obstruction at the coolant intake.,intake_and_pressure,1,0,0,1,1,1,3,,pending,0,0.8201937356557114,11,0.09090909090909091,0,0,0,0.0004179257024759095,"[""temperature reduction"", ""heat shrink"", ""removal module"", ""heat-absorbing"", ""unavailable energy"", ""impediment removal""]"
graph_00,industrial_cooling_system,0,node_007,core_shuffled_graph,shuffle_05,pump pressure loss,Loss of delivered coolant pressure from wear and restricted inflow.,intake_and_pressure,0,1,2,1,2,1,3,,pending,0,0.8765859737175373,15,0.06666666666666667,0,0,0,0.0004179257024759095,"[""length of service"", ""shutdown"", ""turnaround time"", ""duration"", ""delay payment"", ""pump failure""]"
graph_00,industrial_cooling_system,0,node_012,core_shuffled_graph,shuffle_05,emergency cooling demand,Demand for emergency cooling action after thermal warning.,sensing_and_control,0,1,2,1,1,1,4,,pending,1,0.9307359850339992,2,0.5,0,1,0,0.0004179257024759095,"[""climate control"", ""expansion cooling"", ""intensity level"", ""conditioned emotional response"", ""demand characteristic"", ""response time""]"
graph_00,industrial_cooling_system,0,node_018,core_shuffled_graph,shuffle_05,production delay,Delay in production caused by cooling-system downtime.,shutdown_and_delivery,0,1,1,1,1,1,4,,pending,1,0.8962987962641096,4,0.25,0,1,0,0.0004179257024759095,"[""delay payment"", ""security risk"", ""time delay"", ""call delay"", ""shipping pneumonia"", ""tail risk""]"
graph_00,industrial_cooling_system,0,node_000,core_shuffled_graph,shuffle_06,intake blockage severity,Severity of physical obstruction at the coolant intake.,intake_and_pressure,1,0,0,1,1,1,3,,pending,0,0.20851227455260327,13,0.07692307692307693,0,0,0,0.0004179257024759095,[]
graph_00,industrial_cooling_system,0,node_007,core_shuffled_graph,shuffle_06,pump pressure loss,Loss of delivered coolant pressure from wear and restricted inflow.,intake_and_pressure,0,1,2,1,2,1,3,,pending,0,0.8833980091411148,13,0.07692307692307693,0,0,0,0.0004179257024759095,"[""expansion cooling"", ""cooling process"", ""temperature coefficient"", ""change intensity"", ""climate control"", ""control condition""]"
graph_00,industrial_cooling_system,0,node_012,core_shuffled_graph,shuffle_06,emergency cooling demand,Demand for emergency cooling action after thermal warning.,sensing_and_control,0,1,2,1,1,1,4,,pending,0,0.928170432702412,3,0.3333333333333333,0,1,0,0.0004179257024759095,"[""length of service"", ""cooling off period"", ""shutdown"", ""intensity level"", ""change intensity"", ""expansion cooling""]"
graph_00,industrial_cooling_system,0,node_018,core_shuffled_graph,shuffle_06,production delay,Delay in production caused by cooling-system downtime.,shutdown_and_delivery,0,1,1,1,1,1,4,,pending,1,0.895517436324317,6,0.16666666666666666,0,0,0,0.0004179257024759095,"[""temperature measurement"", ""unreliability"", ""failed repair"", ""repairability"", ""anticipatory completion"", ""completion of construction""]"
